,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,21,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Lincoln,3000,108000,1,4
,Coolidge,Cleveland,1000,74801,3,5
,Tyler,Arthur,500,312801,1,3
,Harrison,Grant,1500,309801,2,2
,総取引における距離の平均,1500.0,合算地,6000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,16,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Fillmore,2500,158801,2,1
,Bush,Harrison,3000,108001,1,8
,Nixson,Mckinley,3500,309801,1,2
,Adams,Pierce,2000,232701,2,4
,Jefferson,Obama,2500,45801,1,12
,Jackson,Taylor,2500,198001,1,5
,Buchanan,Hayes,1500,247901,1,1
,Lincoln,Ford,2000,108001,2,1
,Grant,Garfield,3000,74801,3,9
,Arthur,Clinton,1500,309801,1,1
,Cleveland,Coolidge,1000,33801,3,11
,総取引における距離の平均,2272.0,合算地,25000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,14,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Buchanan,3500,245001,1,7
,Reagan,Washington,1500,69801,1,12
,Truman,Hoover,1500,257501,1,6
,Ford,Eisenhower,1500,115200,1,10
,Carter,Nixson,1500,302401,3,1
,Clinton,Polk,500,348001,1,8
,Obama,Jefferson,2500,45801,1,13
,Fillmore,Jackson,1000,168001,3,9
,Buren,Kennedy,3000,94401,1,11
,Taylor,Bush,2500,264801,4,5
,Pierce,Tyler,3500,309801,2,1
,Garfield,Monroe,3000,33801,6,14
,Mckinley,Adams,1500,302401,3,3
,総取引における距離の平均,2076.0,合算地,27000,何番目に好きな人に売れたの平均,7.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,7,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Buren,3000,94401,1,6
,Hoover,Truman,1500,257501,2,2
,Washington,Roosevelt,1000,97001,1,5
,Madison,Reagan,1500,26401,2,7
,Monroe,Taft,2000,108001,1,4
,Polk,Carter,2500,336001,1,1
,Hayes,Johnson,5000,218700,3,3
,総取引における距離の平均,2357.0,合算地,16500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Madison,1500,193300,1,1
,総取引における距離の平均,1500.0,合算地,1500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,2,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Coolidge,Harrison,1500,74800,1,1
,総取引における距離の平均,1500.0,合算地,1500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Tyler,Jackson,1500,312801,1,1
,Grant,Jefferson,2000,74800,1,4
,Arthur,Buchanan,3500,309801,2,3
,Harrison,Lincoln,2000,309801,1,2
,総取引における距離の平均,2250.0,合算地,9000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Arthur,2500,158801,3,5
,Roosevelt,Cleveland,2500,108001,1,7
,Reagan,Coolidge,1000,69801,2,8
,Adams,Tyler,1500,232701,2,3
,Jefferson,Grant,2000,45801,3,9
,Jackson,Mckinley,500,198001,3,4
,Pierce,Tyler,3500,309801,1,3
,Buchanan,Nixson,2500,247900,2,1
,Lincoln,Ford,2000,108001,3,6
