,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,18,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Lincoln,3000,108001,1,6
,Reagan,Hayes,3500,69801,2,7
,Taft,Buchanan,2000,193301,1,3
,Hoover,Arthur,2000,257501,1,2
,Washington,Buren,2500,97000,2,5
,Tyler,Mckinley,2000,312801,1,1
,総取引における距離の平均,2500.0,合算地,15000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,18,買いたい家の数,14,
,売れた家の数,14,買えた家の数,14,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Taylor,1000,257501,3,5
,Coolidge,Ford,1500,74801,3,13
,Adams,Taft,1500,232701,1,1
,Madison,Garfield,3500,26401,1,14
,Monroe,Washington,1500,108001,3,11
,Polk,Jackson,2000,336001,1,1
,Fillmore,Grant,1500,168001,3,12
,Buchanan,Hoover,1500,247901,1,6
,Hayes,Nixson,4000,218700,4,8
,Arthur,Clinton,1500,309801,1,1
,Harrison,Tyler,1500,309801,1,3
,Mckinley,Carter,2000,302401,3,4
,総取引における距離の平均,1916.0,合算地,23000,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,14,買いたい家の数,13,
,売れた家の数,13,買えた家の数,13,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Fillmore,2500,158801,4,7
,Nixson,Truman,2500,309801,2,1
,Ford,Bush,1000,115201,4,8
,Carter,Reagan,1000,302401,3,4
,Clinton,Harrison,2500,348001,1,1
,Jefferson,Obama,2500,45801,1,12
,Jackson,Harrison,1000,198001,2,1
,Buren,Kennedy,3000,94400,4,10
,Taylor,Adams,2500,264801,4,5
,Pierce,Polk,4000,309801,2,1
,Lincoln,Coolidge,1500,108001,1,1
,Grant,Monroe,1000,74801,2,11
,Garfield,Cleveland,1000,33801,2,13
,総取引における距離の平均,2000.0,合算地,26000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Roosevelt,1500,94400,1,2
,Obama,Madison,2000,45801,1,3
,Cleveland,Jefferson,3000,33801,1,4
,Harrison,Pierce,3000,309801,1,1
,総取引における距離の平均,2375.0,合算地,9500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,1,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Eisenhower,500,108000,1,1
,総取引における距離の平均,500.0,合算地,500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,1,買いたい家の数,3,
,売れた家の数,1,買えた家の数,1,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Tyler,Taft,1000,312800,1,1
,総取引における距離の平均,1000.0,合算地,1000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,8,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Tyler,2500,245001,1,1
,Reagan,Fillmore,1500,69801,2,5
,Taft,Buchanan,2000,193301,2,4
,Madison,Monroe,500,26401,2,6
,Arthur,Hayes,2000,309801,2,2
,総取引における距離の平均,1700.0,合算地,8500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,16,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Adams,2500,158801,2,10
,Bush,Buren,2500,108001,5,1
,Coolidge,Madison,1500,74801,2,10
,Washington,Lincoln,2000,97001,5,9
,Monroe,Ford,1500,108001,5,1
,Jackson,Clinton,2500,198001,3,4
,Polk,Pierce,4000,336001,1,1
,Fillmore,Mckinley,1500,168001,4,5
,Hayes,Arthur,2000,218701,3,3
