,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,18,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Taylor,1500,108001,4,5
,Truman,Fillmore,2500,257500,4,4
,Obama,Cleveland,1500,45801,1,6
,Arthur,Buchanan,3500,309801,2,2
,Harrison,Hayes,1000,309801,3,3
,総取引における距離の平均,2000.0,合算地,10000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,16,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Carter,Polk,2500,302401,2,3
,Clinton,Hoover,1500,348000,1,1
,Madison,Mckinley,1500,26401,5,11
,Monroe,Ford,1500,108001,1,1
,Fillmore,Truman,2500,168001,5,7
,Buchanan,Arthur,3500,247901,3,5
,Grant,Garfield,3000,74801,5,9
,Hayes,Harrison,1000,218701,5,1
,Cleveland,Jefferson,3000,33801,1,10
,総取引における距離の平均,2222.0,合算地,20000,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,13,買いたい家の数,10,
,売れた家の数,10,買えた家の数,10,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Adams,2500,158801,1,5
,Kennedy,Buren,3000,94401,1,8
,Hoover,Clinton,1500,257501,4,4
,Ford,Monroe,1500,115201,1,6
,Jefferson,Grant,2000,45801,1,9
,Polk,Carter,2500,336001,1,1
,Taylor,Nixson,3500,264800,2,3
,Lincoln,Washington,2000,108001,1,7
,Garfield,Obama,1500,33801,2,10
,Mckinley,Madison,1500,302401,2,2
,総取引における距離の平均,2150.0,合算地,21500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,8,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Lincoln,3000,108001,1,3
,Nixson,Roosevelt,2000,309800,1,1
,Adams,Jackson,1000,232701,2,2
,Washington,Taft,2500,97001,3,4
,Buren,Reagan,2000,94401,4,5
,総取引における距離の平均,2100.0,合算地,10500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Kennedy,1000,69800,2,4
,Taft,Tyler,1000,193301,2,2
,Coolidge,Bush,1500,74801,1,3
,Jackson,Pierce,2000,198001,1,1
,総取引における距離の平均,1375.0,合算地,5500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,6,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Truman,Arthur,3500,257501,1,3
,Obama,Coolidge,500,45801,1,4
,Tyler,Harrison,1500,312801,1,1
,Pierce,Roosevelt,2000,309800,1,2
,総取引における距離の平均,1875.0,合算地,7500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,6,
,売れた家の数,6,買えた家の数,6,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Eisenhower,500,108000,1,4
,Carter,Clinton,2000,302401,2,3
,Grant,Obama,2500,74801,2,5
,Arthur,Fillmore,1000,309801,1,1
,Cleveland,Monroe,2000,33801,2,6
,総取引における距離の平均,1600.0,合算地,8000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,10,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Jefferson,2000,94400,2,7
,Clinton,Cleveland,2000,348001,1,1
,Monroe,Garfield,3000,108001,5,6
,Fillmore,Polk,1000,168001,3,5
,Taylor,Buchanan,1000,264801,2,4
,Harrison,Hayes,1000,309801,1,1
,Mckinley,Grant,1000,302401,1,3
,総取引における距離の平均,1571.0,合算地,11000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
