,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,15,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Adams,2500,158801,3,6
,Kennedy,Madison,2500,94401,5,10
,Clinton,Polk,500,348001,1,3
,Coolidge,Pierce,2500,74801,9,11
,Washington,Cleveland,3500,97001,3,9
,Monroe,Buren,1000,108001,2,7
,Tyler,Jackson,1500,312801,2,2
,Fillmore,Hayes,2000,168001,1,5
,Buchanan,Harrison,2500,247901,1,4
,Lincoln,Ford,2000,108001,1,1
,総取引における距離の平均,2050.0,合算地,20500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,22,買いたい家の数,11,
,売れた家の数,11,買えた家の数,11,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Ford,Lincoln,2000,115201,1,7
,Adams,Taylor,2500,232701,4,4
,Madison,Arthur,3000,26401,4,11
,Jackson,Tyler,1500,198001,6,6
,Polk,Mckinley,2500,336001,1,1
,Buren,Monroe,1000,94401,2,8
,Hayes,Fillmore,2000,218701,5,5
,Garfield,Washington,4500,33800,1,10
,Cleveland,Jefferson,3000,33801,1,10
,Harrison,Buchanan,2500,309801,2,3
,総取引における距離の平均,2450.0,合算地,24500,何番目に好きな人に売れたの平均,6.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,10,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Garfield,2500,245001,6,6
,Hoover,Truman,1500,257501,1,5
,Jefferson,Obama,2500,45801,1,7
,Taylor,Nixson,3500,264800,3,4
,Pierce,Clinton,3500,309801,1,1
,Arthur,Coolidge,1500,309801,2,2
,Mckinley,Carter,2000,302401,3,3
,総取引における距離の平均,2428.0,合算地,17000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,5,買いたい家の数,6,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Nixson,Hoover,1000,309801,1,5
,Truman,Taft,2000,257501,2,1
,Carter,Eisenhower,2000,302401,2,2
,Obama,Hoover,1000,45801,3,5
,Grant,Johnson,4500,74800,3,4
,総取引における距離の平均,2100.0,合算地,10500,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,3,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Taft,Reagan,1000,193300,2,2
,Hoover,Grant,2500,257501,1,1
,総取引における距離の平均,1750.0,合算地,3500,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,5,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Kennedy,1000,69800,4,5
,Monroe,Bush,2500,108001,1,3
,Tyler,Coolidge,1000,312801,1,1
,Buchanan,Roosevelt,2500,247901,2,2
,Lincoln,Washington,2000,108001,3,3
,総取引における距離の平均,1800.0,合算地,9000,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,11,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Buchanan,2500,108001,2,5
,Roosevelt,Buren,2500,108001,3,5
,Coolidge,Hayes,2500,74801,4,7
,Washington,Monroe,1500,97000,4,6
,Jackson,Tyler,1500,198001,1,2
,総取引における距離の平均,2100.0,合算地,10500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,13,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Lincoln,3500,94401,1,5
,Clinton,Pierce,3500,348000,1,1
,Buren,Garfield,2000,94401,1,5
,Hayes,Cleveland,1500,218701,2,3
,Mckinley,Arthur,1500,302401,2,2
,総取引における距離の平均,2400.0,合算地,12000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
