,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,0,買いたい家の数,0,
,売れた家の数,0,買えた家の数,0,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,取引なし
,総取引における距離の平均
,売りたい家の数,20,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Grant,4000,158801,2,6
,Roosevelt,Lincoln,3000,108001,2,7
,Nixson,Mckinley,3500,309801,1,1
,Taft,Hayes,3500,193301,1,1
,Washington,Buren,2500,97000,2,8
,Tyler,Taylor,4000,312801,1,1
,Buchanan,Pierce,500,247901,2,4
,Garfield,Cleveland,1000,33801,1,9
,Harrison,Arthur,1000,309801,2,3
,総取引における距離の平均,2555.0,合算地,23000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,20,買いたい家の数,12,
,売れた家の数,12,買えた家の数,12,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Jackson,2500,69801,5,11
,Coolidge,Jefferson,2000,74801,4,9
,Monroe,Washington,1500,108001,2,1
,Buren,Garfield,2000,94401,3,8
,Taylor,Carter,2000,264801,4,1
,Pierce,Clinton,3500,309801,1,1
,Lincoln,Ford,2000,108001,1,1
,Hayes,Tyler,2500,218701,4,5
,Arthur,Harrison,1000,309801,2,2
,Cleveland,Madison,2500,33801,4,12
,Mckinley,Buchanan,2000,302401,3,3
,総取引における距離の平均,2136.0,合算地,23500,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,3.0
,売りたい家の数,14,買いたい家の数,9,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Kennedy,Monroe,3000,94401,1,8
,Truman,Hoover,1500,257501,1,3
,Ford,Fillmore,2000,115201,1,5
,Carter,Nixson,1500,302400,2,2
,Clinton,Polk,500,348001,1,1
,Jefferson,Monroe,1000,45801,3,8
,Madison,Obama,2000,26401,2,9
,Jackson,Adams,1000,198001,3,4
,Grant,Coolidge,2000,74801,3,7
,総取引における距離の平均,1611.0,合算地,14500,何番目に好きな人に売れたの平均,5.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,7,買いたい家の数,7,
,売れた家の数,7,買えた家の数,7,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Bush,Roosevelt,1000,108001,1,6
,Hoover,Taft,500,257501,2,2
,Obama,Eisenhower,1500,45801,1,7
,Adams,Johnson,3000,232700,2,3
,Monroe,Reagan,2000,108001,1,5
,Polk,Truman,3500,336001,1,4
,Fillmore,Truman,2500,168001,2,4
,総取引における距離の平均,2000.0,合算地,14000,何番目に好きな人に売れたの平均,4.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,2,買いたい家の数,2,
,売れた家の数,2,買えた家の数,2,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Johnson,Kennedy,500,245000,2,2
,Truman,Bush,1500,257501,1,1
,総取引における距離の平均,1000.0,合算地,2000,何番目に好きな人に売れたの平均,1.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,4,買いたい家の数,4,
,売れた家の数,4,買えた家の数,4,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Eisenhower,Garfield,3000,158801,4,4
,Nixson,Tyler,1500,309801,1,1
,Buchanan,Roosevelt,2500,247900,3,3
,Harrison,Taft,2500,309801,2,2
,総取引における距離の平均,2375.0,合算地,9500,何番目に好きな人に売れたの平均,2.0,何番目に好きな人から買えたの平均,2.0
,売りたい家の数,12,買いたい家の数,5,
,売れた家の数,5,買えた家の数,5,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Roosevelt,Harrison,3000,108001,1,4
,Taft,Mckinley,3000,193301,2,2
,Tyler,Hayes,2500,312801,1,1
,Lincoln,Buchanan,500,108001,2,4
,Garfield,Cleveland,1000,33801,1,5
,総取引における距離の平均,2000.0,合算地,10000,何番目に好きな人に売れたの平均,3.0,何番目に好きな人から買えたの平均,1.0
,売りたい家の数,9,買いたい家の数,10,
,売れた家の数,9,買えた家の数,9,
,買い取りする家,売る家,そこまでの距離,売買価格,何番目に好きな人から買えた,何番目に好きな人に売れた
,Reagan,Lincoln,2500,69801,4,7
,Clinton,Nixson,500,348001,1,1
,Coolidge,Madison,1500,74801,1,6
,Washington,Ford,1000,97001,1,4
,Jefferson,Grant,2000,45801,1,8
